Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
Gabriel,D,,B,B,A,S,S,S,S,S,A,S,S,S,,B,C,C,C,C,C
Gallo,D,Lecce,B,C,C,A,C,C,C,C,C,C,C,C,B,B,B,A,C,A,C
Gatti,D,Juventus,C,B,B,C,B,C,C,C,C,B,B,A,C,C,S,A,C,C,C
Gendrey,D,,B,B,A,C,C,C,C,A,C,C,B,C,B,B,B,B,C,C,C
Ghilardi,D,Roma,B,B,A,B,A,A,C,C,C,B,B,A,B,B,A,B,A,A,A
Gianetti,D,,C,B,C,A,B,A,B,B,B,S,A,A,C,C,C,B,A,C,A
Gigot,D,Lazio,C,B,C,C,S,C,A,B,A,B,A,B,C,C,C,C,B,C,B
Gila,D,Lazio,C,B,B,B,B,B,C,C,C,C,C,B,C,C,B,A,B,C,B
Goglichidze,D,Udinese,B,C,B,A,B,A,C,C,C,A,A,B,B,B,B,C,C,A,C
Goldaniga,D,Como,C,B,B,C,B,C,C,C,C,B,B,A,C,C,S,A,A,A,A
Gosens,D,Fiorentina,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B
Guilbert,D,,B,C,B,A,C,B,C,C,C,C,C,B,B,B,B,S,C,S,C
Gyasi,D,,C,C,C,C,B,C,C,C,C,B,S,C,C,C,S,C,C,C,C
Hainaut,D,Parma,C,B,C,C,C,C,A,B,A,C,B,C,C,C,C,S,A,C,A
Haps,D,,C,C,C,C,C,C,B,B,B,C,C,C,C,C,B,C,C,C,B
Hermoso,D,Roma,B,B,A,B,S,A,S,A,S,C,C,C,B,B,C,C,S,S,S
Hernández,D,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,S,C,A,C
Hien,D,Atalanta,B,B,A,B,A,A,C,C,C,A,A,A,B,B,S,B,A,C,A
Holm,D,Bologna,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,B,C,B
Hummels,D,,B,B,A,C,B,B,C,B,B,A,B,A,B,B,A,B,C,C,C
Hysaj,D,Lazio,B,C,C,C,C,C,A,A,A,B,B,C,B,B,B,C,S,S,A
Idzes,D,Sassuolo,C,B,B,C,B,B,C,C,C,A,B,B,C,C,A,A,C,C,C
Iovine,D,,B,B,A,S,C,B,A,A,A,C,S,C,,B,C,B,A,C,S
Ismajli,D,Torino,B,B,A,A,S,S,C,C,C,S,S,S,B,B,B,C,C,C,C
Izzo,D,,C,C,C,A,B,A,C,C,C,A,B,B,C,C,C,C,A,C,S
Jack,D,Como,B,B,A,S,C,B,S,S,S,B,C,B,,B,C,B,S,C,S
Jean,D,Lecce,B,B,A,A,A,S,C,C,C,A,B,A,B,B,C,B,C,C,C
Jesus,D,,B,C,C,B,S,A,C,B,C,S,C,A,B,B,B,C,C,C,C
Jiménez,D,,B,C,C,C,C,C,B,B,B,C,B,C,B,B,A,A,A,C,A
Kabasele,D,Udinese,C,B,C,C,B,C,B,B,C,B,C,B,C,C,C,A,C,C,C
Kalulu,D,Juventus,C,B,B,B,B,B,C,C,C,C,C,B,C,C,C,A,C,A,C
Kamara,D,Udinese,C,C,C,C,C,C,C,C,B,C,B,C,C,C,C,C,A,A,A
Kayode,D,,B,B,A,C,C,C,S,S,S,C,C,C,B,B,C,B,C,C,C
Kelly,D,Juventus,B,B,A,B,B,A,C,B,C,B,C,C,B,B,B,B,C,C,C
Kempf,D,Como,B,B,A,C,C,C,C,C,C,B,B,A,B,B,S,S,B,A,B
Kialonda,D,,B,C,B,C,B,B,C,C,C,S,S,A,B,B,S,C,C,C,C
Kolašinac,D,,B,C,C,B,C,C,C,C,C,C,C,C,B,B,A,C,A,C,A
Kossounou,D,Atalanta,B,B,A,C,S,A,B,B,B,B,C,B,B,B,A,C,C,C,C
Kristensen,D,Udinese,C,B,B,C,B,B,C,C,C,B,C,B,C,C,C,A,B,C,B
Kyriakopoulos,D,,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Lazaro,D,Torino,B,C,C,B,C,C,C,C,C,C,B,C,B,B,S,C,B,C,B
Lazović,D,,C,C,C,C,C,C,B,C,B,C,B,C,C,C,A,A,C,C,C
Lazzari,D,Lazio,B,C,C,A,C,C,B,C,B,C,C,C,B,B,C,A,C,C,B
Lekovic,D,,B,B,A,B,S,A,A,A,B,B,C,B,B,B,C,C,C,C,C
Leoni,D,Parma,C,B,C,A,S,S,C,B,C,S,S,B,C,C,C,C,A,S,B
Lucumí,D,,B,C,B,B,B,A,C,C,C,C,C,A,B,B,A,C,A,A,B
Luis Palomino,D,,C,B,C,C,S,A,B,B,B,A,B,S,C,C,C,C,B,C,B
Luperto,D,Cagliari,C,C,C,C,C,C,C,C,C,B,B,A,C,C,S,C,C,C,C
Lykogiannis,D,Bologna,B,C,C,A,C,C,B,B,B,B,C,C,B,B,B,C,B,C,B
Løvik,D,,B,B,A,C,C,C,S,S,S,S,S,C,B,B,C,B,C,C,C
Magnani,D,,C,B,C,C,S,C,B,B,B,A,B,B,C,C,B,C,C,C,C
Mancini,D,Roma,C,B,B,C,B,B,C,C,C,C,C,B,C,C,C,S,B,C,B
Marcandalli,D,Genoa,B,B,A,C,S,B,B,B,A,A,B,A,B,B,B,C,A,C,S
Marianucci,D,Napoli,B,B,A,C,B,B,B,B,B,B,B,A,B,B,A,B,C,S,C
Maripán,D,,C,C,C,B,C,B,C,C,C,A,C,B,C,C,C,C,C,A,C
Martín,D,,B,C,C,B,C,C,C,C,C,C,B,C,B,B,S,C,C,C,C
Martínez Quarta,D,,C,B,C,C,S,C,A,A,A,B,C,B,C,C,C,C,B,C,B
Marušić,D,,C,B,C,C,B,C,B,C,B,B,C,C,C,C,C,A,C,C,C
Marí,D,,B,B,A,A,A,S,C,C,C,S,B,S,B,B,B,B,B,A,B
Marín,D,,B,B,A,C,S,C,S,S,A,C,C,S,B,B,B,C,S,C,S
Masina,D,Torino,C,C,C,B,B,B,B,C,C,B,C,B,C,C,C,C,B,C,B
Matturro,D,,B,B,A,B,B,A,B,B,C,C,S,B,B,B,B,B,B,C,B
Mazzocchi,D,Napoli,B,B,A,B,C,C,A,B,A,C,B,C,B,B,B,A,A,C,A
Mina,D,Cagliari,C,B,B,C,B,C,C,C,C,B,B,A,C,C,S,A,B,A,B
Miranda,D,Bologna,B,C,C,B,C,C,C,C,C,C,C,C,B,B,A,B,C,A,C
Modesto,D,,B,C,C,C,C,C,S,A,S,C,C,C,B,B,A,C,C,C,C
Moreno,D,,B,B,A,B,C,B,C,C,C,C,C,C,B,B,B,S,B,C,B
Moreno,D,,B,B,A,S,S,S,A,A,A,B,C,B,,B,C,C,C,C,C
N'Dicka,D,Roma,B,C,B,B,B,A,C,C,C,B,B,A,B,B,S,C,C,C,C
Nelsson,D,Verona,B,B,A,S,S,S,S,S,A,S,A,S,,B,C,C,C,C,C
Nielsen,D,,B,B,A,S,S,S,S,S,S,S,S,S,,B,C,C,S,C,S
Norton-Cuffy,D,Genoa,B,B,A,B,B,B,B,B,B,C,A,C,B,B,B,B,C,C,C
Obert,D,Cagliari,C,C,C,C,B,C,B,B,B,B,C,B,C,C,C,C,A,C,A
Olivera,D,Napoli,B,C,C,C,C,C,C,C,C,C,C,C,B,B,S,C,C,C,C
Osorio,D,,B,B,A,S,C,B,B,A,B,A,S,S,,B,C,B,C,C,C
Otoa,D,Genoa,B,B,A,S,S,S,C,A,B,S,S,S,,B,C,C,S,S,S
Oyegoke,D,Verona,B,B,A,S,S,S,S,S,S,C,A,C,,B,C,C,S,C,S
Palacios,D,,B,B,A,S,S,S,A,A,A,B,C,B,,B,C,C,A,C,A
Palestra,D,Atalanta,B,B,A,S,C,B,S,A,S,C,B,C,,B,C,B,C,C,C
Parisi,D,Fiorentina,C,B,C,C,C,C,A,B,A,C,C,C,C,C,C,S,B,C,B
Patric,D,Lazio,C,B,C,C,S,C,A,A,B,B,C,B,C,C,B,C,B,C,A
Pavard,D,Inter,B,C,B,B,C,B,C,C,C,B,C,B,B,B,A,C,B,C,B
Pavlović,D,,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,B,C,S,C
Pedersen,D,Torino,B,B,A,C,B,B,B,B,A,C,S,C,B,B,A,A,B,C,B
Pellegrini,D,Roma,B,C,C,C,C,C,A,B,A,C,C,C,B,B,A,C,A,C,A
Pelmard,D,,B,B,A,S,S,S,A,S,A,B,S,S,,B,C,C,S,C,S
Pereira,D,,C,C,C,C,C,C,C,C,C,C,A,C,C,C,B,C,A,C,A
Pezzella,D,,B,C,C,A,C,C,C,C,C,C,B,C,B,B,A,S,B,C,B
Pongračić,D,,B,B,A,A,B,A,B,B,C,A,A,B,B,B,B,B,B,S,B
Posch,D,Bologna,B,B,A,C,C,C,B,B,B,C,C,C,B,B,A,A,C,C,C
Pérez,D,,B,B,A,S,S,S,C,A,C,B,A,B,,B,C,C,C,C,C
Ranieri,D,Fiorentina,C,C,C,B,C,B,C,C,C,B,B,B,C,C,B,C,B,C,B
Rensch,D,Roma,B,C,C,C,C,C,A,A,S,A,B,C,B,B,B,C,C,C,C
Romagnoli,D,Lazio,C,B,C,C,B,C,C,C,C,S,B,A,C,C,B,A,B,S,C
Rouhi,D,Juventus,B,B,A,S,S,S,S,S,A,A,C,C,,B,C,C,C,C,C
Rrahmani,D,Napoli,C,C,C,C,B,C,C,C,C,B,C,S,C,C,S,C,C,C,C
Ruggeri,D,,B,C,C,A,C,C,B,C,B,C,C,C,B,B,B,C,C,C,C
Sabelli,D,Genoa,B,C,C,A,C,B,B,C,B,C,C,C,B,B,C,C,C,C,C
Saelemaekers,D,Milan,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,B,C,B
Sagrado,D,,B,B,A,C,S,B,C,A,A,S,S,C,B,B,C,C,S,C,S
Sala,D,,B,B,A,S,C,C,A,A,S,C,C,C,,B,C,A,S,C,S
Salah-Eddine,D,Roma,B,C,C,C,C,C,B,A,B,C,S,C,B,B,B,C,C,C,C
Sambia,D,,B,B,A,C,C,C,S,A,S,C,C,C,B,B,B,A,C,C,C
Savona,D,Juventus,C,C,C,B,C,C,B,C,B,C,C,C,C,C,C,B,B,C,B
Scalvini,D,Atalanta,B,B,A,B,S,A,B,A,A,C,C,C,B,B,C,C,S,C,S
Schingtienne,D,,B,B,A,S,A,S,B,B,C,A,A,B,,B,C,B,C,C,C
Smolčić,D,,B,B,A,C,B,B,B,B,C,A,C,B,B,B,B,B,B,C,A
Solet,D,Udinese,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,B,S,C
Sosa,D,,B,B,A,B,C,B,B,B,B,B,C,C,B,B,B,A,C,C,C
Spinazzola,D,Napoli,C,C,C,C,C,C,B,C,B,C,C,C,C,C,C,S,C,C,C
Svoboda,D,,C,B,C,A,C,B,C,B,C,B,B,B,C,C,C,A,C,C,C
Tavares,D,Lazio,B,C,C,C,C,C,C,C,C,C,C,C,B,B,S,C,B,S,B
Tchatchoua,D,Verona,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,B,A,B
Terracciano,D,Cremonese,B,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,S,C,S
Thiaw,D,Milan,B,B,A,B,A,A,C,C,C,B,C,S,B,B,A,B,C,C,C
Tolói,D,,B,B,A,B,C,B,S,A,A,B,C,B,B,B,C,B,C,C,B
Tomori,D,Milan,B,C,B,A,C,B,C,C,C,A,C,A,B,B,C,C,B,S,B
Touré,D,,C,B,C,C,S,B,C,B,B,B,C,B,C,C,C,C,S,S,B
Valenti,D,Parma,C,B,B,A,B,A,C,C,C,S,A,A,C,C,C,B,A,S,A
Valentini,D,Verona,B,B,A,B,C,B,C,B,C,A,C,S,B,B,B,S,A,S,A
Valeri,D,Parma,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C
Valle,D,Como,B,B,A,B,C,B,C,B,C,C,C,C,B,B,B,A,C,C,C
Van Der Brempt,D,Como,B,C,C,B,B,B,B,B,B,C,B,C,B,B,A,C,B,C,B
Veiga,D,Lecce,B,C,C,C,A,C,C,B,C,B,C,S,B,B,S,C,C,C,C
Veiga,D,Lecce,B,B,A,C,C,C,S,A,S,C,B,C,B,B,A,A,C,C,C
Viti,D,Fiorentina,C,B,B,B,A,A,C,C,C,B,B,B,C,C,C,B,C,C,C
Vogliacco,D,Genoa,C,B,C,C,A,C,C,C,C,B,B,A,C,C,C,B,A,C,A
Vojvoda,D,Como,C,C,C,B,C,C,B,C,B,C,C,C,C,C,C,A,B,C,A
Vásquez,D,,C,B,C,C,B,B,C,C,C,C,B,B,C,C,C,A,B,C,B
Walker,D,,B,B,A,S,C,C,B,B,B,C,C,C,,B,C,S,C,C,C
Walukiewicz,D,Sassuolo,B,B,A,B,B,A,B,C,B,C,C,B,B,B,B,A,B,C,A
Weah,D,Juventus,C,C,C,C,C,C,B,C,B,C,C,C,C,C,C,C,B,C,B
Wieteska,D,Cagliari,B,B,A,C,C,C,S,S,A,A,B,S,B,B,B,B,S,C,S
Zalewski,D,Atalanta,C,C,C,C,C,C,A,B,A,C,C,C,C,C,C,S,A,C,A
Zampano,D,,C,C,C,C,C,C,B,C,C,C,A,C,C,C,C,C,B,C,B
Zappa,D,Cagliari,C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,S,C,C,C
Zappacosta,D,Atalanta,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C
Zemura,D,Udinese,C,C,C,C,C,C,B,B,B,C,B,C,C,C,C,C,C,C,C
Zerbin,D,Cremonese,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,S,B,C,B
Zortea,D,Bologna,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,A,C,C,C
costa,D,,B,C,C,C,C,C,A,A,A,C,A,C,B,B,A,C,S,C,S
de Vrij,D,,C,B,C,C,S,B,B,C,B,B,C,A,C,C,C,C,C,C,C
Çelik,D,,B,C,C,B,C,B,C,C,C,C,C,C,B,B,A,C,B,C,B
Šverko,D,,C,B,C,B,B,B,B,B,C,B,C,S,C,C,C,A,B,C,B
Adli,C,,C,C,C,B,C,C,B,C,B,C,C,B,C,C,C,C,B,S,B
Adžić,C,,A,A,A,S,S,S,S,S,S,S,S,C,,A,C,C,C,C,C
Aebischer,C,Pisa,A,A,A,B,B,B,C,B,B,B,C,B,A,A,B,B,B,C,B
Akpa-Akpro,C,,A,A,A,A,A,A,C,C,C,C,S,B,A,A,B,B,A,C,A
Amrabat,C,,A,A,A,S,B,A,C,A,C,B,C,S,,A,C,B,C,C,C
Anjorin,C,Torino,C,C,C,B,C,C,C,C,B,C,C,C,C,C,C,C,B,C,B
Asllani,C,Inter,C,C,C,C,C,C,B,B,B,A,C,B,A,A,A,C,A,C,A
Atta,C,Udinese,A,C,B,C,C,C,B,C,B,C,C,C,A,A,S,B,A,C,A
Bacci,C,,A,A,A,S,S,S,S,S,S,S,A,S,,A,C,C,C,C,C
Badelj,C,,C,A,B,B,B,B,C,C,C,S,C,A,C,C,C,A,C,C,C
Baldanzi,C,Roma,C,C,C,C,C,C,A,B,A,C,A,C,C,C,B,C,B,C,B
Bandeira,C,,A,A,A,S,A,S,B,B,B,S,C,A,,A,C,B,B,C,B
Barella,C,Inter,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Baselli,C,,A,A,A,S,S,S,B,A,S,C,C,S,,A,C,C,C,C,C
Belahyane,C,Lazio,A,C,B,A,B,A,C,C,C,B,B,S,A,A,B,C,A,S,B
Bennacer,C,,A,A,A,A,A,A,C,B,B,C,C,C,A,A,B,B,S,C,S
Berisha,C,Lecce,A,C,B,C,B,B,B,B,B,C,C,B,A,A,A,C,S,C,S
Bernabe,C,,C,B,B,C,B,B,C,C,C,C,C,A,C,C,B,B,C,C,C
